colid,colname
22645_0_6,Rest days during mixed shift periods
22645_0_7,Rest days during mixed shift periods
22645_0_8,Rest days during mixed shift periods
22645_0_9,Rest days during mixed shift periods
22645_0_10,Rest days during mixed shift periods
22645_0_11,Rest days during mixed shift periods
22645_0_12,Rest days during mixed shift periods
22645_0_13,Rest days during mixed shift periods
22645_0_14,Rest days during mixed shift periods
22645_0_15,Rest days during mixed shift periods
22645_0_16,Rest days during mixed shift periods
22645_0_17,Rest days during mixed shift periods
22645_0_18,Rest days during mixed shift periods
22645_0_19,Rest days during mixed shift periods
22650_0_0,Night shifts worked
22650_0_1,Night shifts worked
22650_0_2,Night shifts worked
22650_0_3,Night shifts worked
22650_0_4,Night shifts worked
22650_0_5,Night shifts worked
22650_0_6,Night shifts worked
22650_0_7,Night shifts worked
22650_0_8,Night shifts worked
22650_0_9,Night shifts worked
22650_0_10,Night shifts worked
22650_0_11,Night shifts worked
22650_0_12,Night shifts worked
22650_0_13,Night shifts worked
22650_0_14,Night shifts worked
22650_0_15,Night shifts worked
22650_0_16,Night shifts worked
22650_0_17,Night shifts worked
22650_0_18,Night shifts worked
22650_0_19,Night shifts worked
22650_0_20,Night shifts worked
22650_0_21,Night shifts worked
22650_0_22,Night shifts worked
22650_0_23,Night shifts worked
22650_0_24,Night shifts worked
22650_0_25,Night shifts worked
22650_0_26,Night shifts worked
22650_0_27,Night shifts worked
22650_0_28,Night shifts worked
22650_0_29,Night shifts worked
22650_0_30,Night shifts worked
22650_0_31,Night shifts worked
22650_0_32,Night shifts worked
22651_0_0,Period spent working night shifts
22651_0_1,Period spent working night shifts
22651_0_2,Period spent working night shifts
22651_0_3,Period spent working night shifts
22651_0_4,Period spent working night shifts
22651_0_5,Period spent working night shifts
22651_0_6,Period spent working night shifts
22651_0_7,Period spent working night shifts
22651_0_8,Period spent working night shifts
22651_0_9,Period spent working night shifts
22651_0_10,Period spent working night shifts
22651_0_11,Period spent working night shifts
22651_0_12,Period spent working night shifts
22651_0_13,Period spent working night shifts
22651_0_14,Period spent working night shifts
22651_0_15,Period spent working night shifts
22651_0_16,Period spent working night shifts
22651_0_17,Period spent working night shifts
22651_0_18,Period spent working night shifts
22651_0_19,Period spent working night shifts
22651_0_20,Period spent working night shifts
22651_0_21,Period spent working night shifts
22651_0_22,Period spent working night shifts
22651_0_23,Period spent working night shifts
22651_0_24,Period spent working night shifts
22651_0_25,Period spent working night shifts
22651_0_26,Period spent working night shifts
22651_0_27,Period spent working night shifts
22651_0_28,Period spent working night shifts
22651_0_29,Period spent working night shifts
22651_0_30,Period spent working night shifts
22651_0_31,Period spent working night shifts
22651_0_32,Period spent working night shifts
22652_0_0,Usual length of each night shift during night shift periods
22652_0_1,Usual length of each night shift during night shift periods
22652_0_2,Usual length of each night shift during night shift periods
22652_0_3,Usual length of each night shift during night shift periods
22652_0_4,Usual length of each night shift during night shift periods
22652_0_5,Usual length of each night shift during night shift periods
22652_0_6,Usual length of each night shift during night shift periods
22652_0_7,Usual length of each night shift during night shift periods
22652_0_8,Usual length of each night shift during night shift periods
22652_0_9,Usual length of each night shift during night shift periods
22652_0_10,Usual length of each night shift during night shift periods
22652_0_11,Usual length of each night shift during night shift periods
22652_0_12,Usual length of each night shift during night shift periods
22652_0_13,Usual length of each night shift during night shift periods
22652_0_14,Usual length of each night shift during night shift periods
22652_0_15,Usual length of each night shift during night shift periods
22652_0_16,Usual length of each night shift during night shift periods
22652_0_17,Usual length of each night shift during night shift periods
22652_0_18,Usual length of each night shift during night shift periods
22652_0_19,Usual length of each night shift during night shift periods
22652_0_20,Usual length of each night shift during night shift periods
22652_0_21,Usual length of each night shift during night shift periods
22652_0_22,Usual length of each night shift during night shift periods
22652_0_23,Usual length of each night shift during night shift periods
22652_0_24,Usual length of each night shift during night shift periods
22652_0_25,Usual length of each night shift during night shift periods
22652_0_26,Usual length of each night shift during night shift periods
22652_0_27,Usual length of each night shift during night shift periods
22652_0_28,Usual length of each night shift during night shift periods
22652_0_29,Usual length of each night shift during night shift periods
22652_0_30,Usual length of each night shift during night shift periods
22652_0_31,Usual length of each night shift during night shift periods
22652_0_32,Usual length of each night shift during night shift periods
22653_0_0,Number of night shifts worked monthly during night shift periods
22653_0_1,Number of night shifts worked monthly during night shift periods
22653_0_2,Number of night shifts worked monthly during night shift periods
22653_0_3,Number of night shifts worked monthly during night shift periods
22653_0_4,Number of night shifts worked monthly during night shift periods
22653_0_5,Number of night shifts worked monthly during night shift periods
22653_0_6,Number of night shifts worked monthly during night shift periods
22653_0_7,Number of night shifts worked monthly during night shift periods
22653_0_8,Number of night shifts worked monthly during night shift periods
22653_0_9,Number of night shifts worked monthly during night shift periods
22653_0_10,Number of night shifts worked monthly during night shift periods
22653_0_11,Number of night shifts worked monthly during night shift periods
22653_0_12,Number of night shifts worked monthly during night shift periods
22653_0_13,Number of night shifts worked monthly during night shift periods
22653_0_14,Number of night shifts worked monthly during night shift periods
23321_2_82,Values wanted
22653_0_15,Number of night shifts worked monthly during night shift periods
22653_0_16,Number of night shifts worked monthly during night shift periods
22653_0_17,Number of night shifts worked monthly during night shift periods
22653_0_18,Number of night shifts worked monthly during night shift periods
22653_0_19,Number of night shifts worked monthly during night shift periods
22653_0_20,Number of night shifts worked monthly during night shift periods
22653_0_21,Number of night shifts worked monthly during night shift periods
22653_0_22,Number of night shifts worked monthly during night shift periods
22653_0_23,Number of night shifts worked monthly during night shift periods
22653_0_24,Number of night shifts worked monthly during night shift periods
22653_0_25,Number of night shifts worked monthly during night shift periods
22653_0_26,Number of night shifts worked monthly during night shift periods
22653_0_27,Number of night shifts worked monthly during night shift periods
22653_0_28,Number of night shifts worked monthly during night shift periods
22653_0_29,Number of night shifts worked monthly during night shift periods
22653_0_30,Number of night shifts worked monthly during night shift periods
22653_0_31,Number of night shifts worked monthly during night shift periods
22653_0_32,Number of night shifts worked monthly during night shift periods
22654_0_0,Consecutive night shifts during night shift periods
22654_0_1,Consecutive night shifts during night shift periods
22654_0_2,Consecutive night shifts during night shift periods
22654_0_3,Consecutive night shifts during night shift periods
22654_0_4,Consecutive night shifts during night shift periods
22654_0_5,Consecutive night shifts during night shift periods
22654_0_6,Consecutive night shifts during night shift periods
22654_0_7,Consecutive night shifts during night shift periods
22654_0_8,Consecutive night shifts during night shift periods
22654_0_9,Consecutive night shifts during night shift periods
22654_0_10,Consecutive night shifts during night shift periods
22654_0_11,Consecutive night shifts during night shift periods
22654_0_12,Consecutive night shifts during night shift periods
22654_0_13,Consecutive night shifts during night shift periods
22654_0_14,Consecutive night shifts during night shift periods
22654_0_15,Consecutive night shifts during night shift periods
22654_0_16,Consecutive night shifts during night shift periods
22654_0_17,Consecutive night shifts during night shift periods
22654_0_18,Consecutive night shifts during night shift periods
22654_0_19,Consecutive night shifts during night shift periods
22654_0_20,Consecutive night shifts during night shift periods
22654_0_21,Consecutive night shifts during night shift periods
22654_0_22,Consecutive night shifts during night shift periods
22654_0_23,Consecutive night shifts during night shift periods
22654_0_24,Consecutive night shifts during night shift periods
22654_0_25,Consecutive night shifts during night shift periods
22654_0_26,Consecutive night shifts during night shift periods
22654_0_27,Consecutive night shifts during night shift periods
22654_0_28,Consecutive night shifts during night shift periods
22654_0_29,Consecutive night shifts during night shift periods
22654_0_30,Consecutive night shifts during night shift periods
22654_0_31,Consecutive night shifts during night shift periods
22654_0_32,Consecutive night shifts during night shift periods
22655_0_0,Rest days during night shift periods
22655_0_1,Rest days during night shift periods
22655_0_2,Rest days during night shift periods
22655_0_3,Rest days during night shift periods
22655_0_4,Rest days during night shift periods
22655_0_5,Rest days during night shift periods
22655_0_6,Rest days during night shift periods
22655_0_7,Rest days during night shift periods
22655_0_8,Rest days during night shift periods
22655_0_9,Rest days during night shift periods
22655_0_10,Rest days during night shift periods
22655_0_11,Rest days during night shift periods
22655_0_12,Rest days during night shift periods
22655_0_13,Rest days during night shift periods
22655_0_14,Rest days during night shift periods
22655_0_15,Rest days during night shift periods
22655_0_16,Rest days during night shift periods
22660_0_0,Gap coding
22660_0_1,Gap coding
22660_0_2,Gap coding
22660_0_3,Gap coding
22660_0_4,Gap coding
22660_0_5,Gap coding
22660_0_6,Gap coding
22660_0_7,Gap coding
22660_0_8,Gap coding
22660_0_9,Gap coding
22660_0_10,Gap coding
22660_0_11,Gap coding
22660_0_12,Gap coding
22660_0_13,Gap coding
22660_0_14,Gap coding
22660_0_15,Gap coding
22660_0_16,Gap coding
22660_0_17,Gap coding
22660_0_18,Gap coding
22660_0_19,Gap coding
22660_0_20,Gap coding
22660_0_21,Gap coding
22660_0_22,Gap coding
22660_0_23,Gap coding
22660_0_24,Gap coding
22660_0_25,Gap coding
22660_0_26,Gap coding
22660_0_27,Gap coding
22660_0_28,Gap coding
22660_0_29,Gap coding
22660_0_30,Gap coding
22660_0_31,Gap coding
22660_0_32,Gap coding
22661_0_0,Number of gap periods
22662_0_0,Title for other gap
22662_0_1,Title for other gap
22662_0_2,Title for other gap
22662_0_3,Title for other gap
22662_0_4,Title for other gap
22662_0_5,Title for other gap
22662_0_6,Title for other gap
22662_0_7,Title for other gap
22662_0_8,Title for other gap
22662_0_9,Title for other gap
22662_0_10,Title for other gap
22662_0_11,Title for other gap
22662_0_12,Title for other gap
22662_0_13,Title for other gap
22662_0_14,Title for other gap
22662_0_15,Title for other gap
22662_0_16,Title for other gap
22662_0_17,Title for other gap
22662_0_18,Title for other gap
22663_0_0,Year gap started
22663_0_1,Year gap started
22663_0_2,Year gap started
22663_0_3,Year gap started
22663_0_4,Year gap started
22663_0_5,Year gap started
22663_0_6,Year gap started
22663_0_7,Year gap started
22663_0_8,Year gap started
22663_0_9,Year gap started
22663_0_10,Year gap started
22663_0_11,Year gap started
22663_0_12,Year gap started
22663_0_13,Year gap started
22663_0_14,Year gap started
22663_0_15,Year gap started
22663_0_16,Year gap started
22663_0_17,Year gap started
22663_0_18,Year gap started
22663_0_19,Year gap started
22663_0_20,Year gap started
22663_0_21,Year gap started
22663_0_22,Year gap started
22663_0_23,Year gap started
22663_0_24,Year gap started
22663_0_25,Year gap started
22663_0_26,Year gap started
22663_0_27,Year gap started
22663_0_28,Year gap started
22663_0_29,Year gap started
22663_0_30,Year gap started
22663_0_31,Year gap started
22663_0_32,Year gap started
22664_0_0,Year gap ended
22664_0_1,Year gap ended
22664_0_2,Year gap ended
22664_0_3,Year gap ended
22664_0_4,Year gap ended
22664_0_5,Year gap ended
22664_0_6,Year gap ended
22664_0_7,Year gap ended
22664_0_8,Year gap ended
22664_0_9,Year gap ended
22664_0_10,Year gap ended
22664_0_11,Year gap ended
22664_0_12,Year gap ended
22664_0_13,Year gap ended
22664_0_14,Year gap ended
22664_0_15,Year gap ended
22664_0_16,Year gap ended
22664_0_17,Year gap ended
22664_0_18,Year gap ended
22664_0_19,Year gap ended
22664_0_20,Year gap ended
22664_0_21,Year gap ended
22664_0_22,Year gap ended
22664_0_23,Year gap ended
22664_0_24,Year gap ended
22664_0_25,Year gap ended
22664_0_26,Year gap ended
22664_0_27,Year gap ended
22664_0_28,Year gap ended
22664_0_29,Year gap ended
22664_0_30,Year gap ended
22664_0_31,Year gap ended
22664_0_32,Year gap ended
22670_2_0,Minimum carotid IMT (intima-medial thickness) at 120 degrees 
22670_3_0,Minimum carotid IMT (intima-medial thickness) at 120 degrees 
22671_2_0,Mean carotid IMT (intima-medial thickness) at 120 degrees 
22671_3_0,Mean carotid IMT (intima-medial thickness) at 120 degrees 
22672_2_0,Maximum carotid IMT (intima-medial thickness) at 120 degrees 
22672_3_0,Maximum carotid IMT (intima-medial thickness) at 120 degrees 
22673_2_0,Minimum carotid IMT (intima-medial thickness) at 150 degrees 
22673_3_0,Minimum carotid IMT (intima-medial thickness) at 150 degrees 
22674_2_0,Mean carotid IMT (intima-medial thickness) at 150 degrees 
22674_3_0,Mean carotid IMT (intima-medial thickness) at 150 degrees 
22675_2_0,Maximum carotid IMT (intima-medial thickness) at 150 degrees 
22675_3_0,Maximum carotid IMT (intima-medial thickness) at 150 degrees 
22676_2_0,Minimum carotid IMT (intima-medial thickness) at 210 degrees 
22676_3_0,Minimum carotid IMT (intima-medial thickness) at 210 degrees 
22677_2_0,Mean carotid IMT (intima-medial thickness) at 210 degrees 
22677_3_0,Mean carotid IMT (intima-medial thickness) at 210 degrees 
22678_2_0,Maximum carotid IMT (intima-medial thickness) at 210 degrees 
22678_3_0,Maximum carotid IMT (intima-medial thickness) at 210 degrees 
22679_2_0,Minimum carotid IMT (intima-medial thickness) at 240 degrees 
22679_3_0,Minimum carotid IMT (intima-medial thickness) at 240 degrees 
22680_2_0,Mean carotid IMT (intima-medial thickness) at 240 degrees 
22680_3_0,Mean carotid IMT (intima-medial thickness) at 240 degrees 
22681_2_0,Maximum carotid IMT (intima-medial thickness) at 240 degrees 
22681_3_0,Maximum carotid IMT (intima-medial thickness) at 240 degrees 
22682_0_0,Quality control indicator for IMT at 120 degrees
22683_0_0,Quality control indicator for IMT at 150 degrees
22684_0_0,Quality control indicator for IMT at 210 degrees
22685_0_0,Quality control indicator for IMT at 240 degrees
22700_0_0,Date first recorded at location
22700_0_1,Date first recorded at location
22700_0_2,Date first recorded at location
22700_0_3,Date first recorded at location
22700_0_4,Date first recorded at location
22700_0_5,Date first recorded at location
22700_0_6,Date first recorded at location
22700_0_7,Date first recorded at location
22700_0_8,Date first recorded at location
22700_0_9,Date first recorded at location
22700_0_10,Date first recorded at location
22700_0_11,Date first recorded at location
22700_0_12,Date first recorded at location
22700_0_13,Date first recorded at location
22700_0_14,Date first recorded at location
22702_0_0,Home location - east co-ordinate (rounded)
22702_0_1,Home location - east co-ordinate (rounded)
22702_0_2,Home location - east co-ordinate (rounded)
22702_0_3,Home location - east co-ordinate (rounded)
22702_0_4,Home location - east co-ordinate (rounded)
22702_0_5,Home location - east co-ordinate (rounded)
22702_0_6,Home location - east co-ordinate (rounded)
22702_0_7,Home location - east co-ordinate (rounded)
22702_0_8,Home location - east co-ordinate (rounded)
22702_0_9,Home location - east co-ordinate (rounded)
22702_0_10,Home location - east co-ordinate (rounded)
22702_0_11,Home location - east co-ordinate (rounded)
22702_0_12,Home location - east co-ordinate (rounded)
22702_0_13,Home location - east co-ordinate (rounded)
22702_0_14,Home location - east co-ordinate (rounded)
22704_0_0,Home location - north co-ordinate (rounded)
22704_0_1,Home location - north co-ordinate (rounded)
22704_0_2,Home location - north co-ordinate (rounded)
22704_0_3,Home location - north co-ordinate (rounded)
22704_0_4,Home location - north co-ordinate (rounded)
22704_0_5,Home location - north co-ordinate (rounded)
22704_0_6,Home location - north co-ordinate (rounded)
22704_0_7,Home location - north co-ordinate (rounded)
22704_0_8,Home location - north co-ordinate (rounded)
22704_0_9,Home location - north co-ordinate (rounded)
22704_0_10,Home location - north co-ordinate (rounded)
22704_0_11,Home location - north co-ordinate (rounded)
22704_0_12,Home location - north co-ordinate (rounded)
22704_0_13,Home location - north co-ordinate (rounded)
22704_0_14,Home location - north co-ordinate (rounded)
22800_0_0,Chromosome XY imputation and haplotype results
22801_0_0,Chromosome 1 imputation and haplotype results
22802_0_0,Chromosome 2 imputation and haplotype results
22803_0_0,Chromosome 3 imputation and haplotype results
22804_0_0,Chromosome 4 imputation and haplotype results
22805_0_0,Chromosome 5 imputation and haplotype results
22806_0_0,Chromosome 6 imputation and haplotype results
22807_0_0,Chromosome 7 imputation and haplotype results
22808_0_0,Chromosome 8 imputation and haplotype results
22809_0_0,Chromosome 9 imputation and haplotype results
22810_0_0,Chromosome 10 imputation and haplotype results
22811_0_0,Chromosome 11 imputation and haplotype results
22812_0_0,Chromosome 12 imputation and haplotype results
22813_0_0,Chromosome 13 imputation and haplotype results
22814_0_0,Chromosome 14 imputation and haplotype results
22815_0_0,Chromosome 15 imputation and haplotype results
22816_0_0,Chromosome 16 imputation and haplotype results
22817_0_0,Chromosome 17 imputation and haplotype results
22818_0_0,Chromosome 18 imputation and haplotype results
22819_0_0,Chromosome 19 imputation and haplotype results
22820_0_0,Chromosome 20 imputation and haplotype results
22821_0_0,Chromosome 21 imputation and haplotype results
22822_0_0,Chromosome 22 imputation and haplotype results
22823_0_0,Chromosome X imputation and haplotype results
23000_0_0,1gG antigen for Herpes Simplex virus-1
23000_1_0,1gG antigen for Herpes Simplex virus-1
23001_0_0,2mgG unique antigen for Herpes Simplex virus-2
23001_1_0,2mgG unique antigen for Herpes Simplex virus-2
23002_0_0,gE / gI antigen for Varicella Zoster Virus
23002_1_0,gE / gI antigen for Varicella Zoster Virus
23003_0_0,VCA p18 antigen for Epstein-Barr Virus
23003_1_0,VCA p18 antigen for Epstein-Barr Virus
23004_0_0,EBNA-1 antigen for Epstein-Barr Virus
23004_1_0,EBNA-1 antigen for Epstein-Barr Virus
23005_0_0,ZEBRA antigen for Epstein-Barr Virus
23005_1_0,ZEBRA antigen for Epstein-Barr Virus
23006_0_0,EA-D antigen for Epstein-Barr Virus
23006_1_0,EA-D antigen for Epstein-Barr Virus
23007_0_0,pp150 Nter antigen for Human Cytomegalovirus
23007_1_0,pp150 Nter antigen for Human Cytomegalovirus
23008_0_0,pp 52 antigen for Human Cytomegalovirus
23008_1_0,pp 52 antigen for Human Cytomegalovirus
23009_0_0,pp 28 antigen for Human Cytomegalovirus
23009_1_0,pp 28 antigen for Human Cytomegalovirus
23010_0_0,IE1A antigen for Human Herpesvirus-6
23010_1_0,IE1A antigen for Human Herpesvirus-6
23011_0_0,IE1B antigen for Human Herpesvirus-6
23011_1_0,IE1B antigen for Human Herpesvirus-6
23012_0_0,p101 k antigen for Human Herpesvirus-6
23012_1_0,p101 k antigen for Human Herpesvirus-6
23013_0_0,U14 antigen for Human Herpesvirus-7
23013_1_0,U14 antigen for Human Herpesvirus-7
23014_0_0,LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus
23048_1_0,Antigen assay date
23014_1_0,LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus
23015_0_0,K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus
23015_1_0,K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus
23016_0_0,HBc antigen for Hepatitis B Virus
23016_1_0,HBc antigen for Hepatitis B Virus
23017_0_0,HBe antigen for Hepatitis B Virus
23017_1_0,HBe antigen for Hepatitis B Virus
23018_0_0,Core antigen for Hepatitis C Virus
23018_1_0,Core antigen for Hepatitis C Virus
23019_0_0,NS3 antigen for Hepatitis C Virus
23019_1_0,NS3 antigen for Hepatitis C Virus
23020_0_0,p22 antigen for Toxoplasma gondii
23020_1_0,p22 antigen for Toxoplasma gondii
23021_0_0,sag1 antigen for Toxoplasma gondii
23021_1_0,sag1 antigen for Toxoplasma gondii
23022_0_0,HTLV-1 gag antigen for Human T-Lymphotropic Virus 1
23022_1_0,HTLV-1 gag antigen for Human T-Lymphotropic Virus 1
23023_0_0,HTLV-1 env antigen for Human T-Lymphotropic Virus 1
23023_1_0,HTLV-1 env antigen for Human T-Lymphotropic Virus 1
23024_0_0,HIV-1 gag antigen for Human Immunodeficiency Virus
23024_1_0,HIV-1 gag antigen for Human Immunodeficiency Virus
23025_0_0,HIV-1 env antigen for Human Immunodeficiency Virus
23025_1_0,HIV-1 env antigen for Human Immunodeficiency Virus
23026_0_0,BK VP1 antigen for Human Polyomavirus BKV
23026_1_0,BK VP1 antigen for Human Polyomavirus BKV
23027_0_0,JC VP1 antigen for Human Polyomavirus JCV
23027_1_0,JC VP1 antigen for Human Polyomavirus JCV
23028_0_0,MC VP1 antigen for Merkel Cell Polyomavirus
23028_1_0,MC VP1 antigen for Merkel Cell Polyomavirus
23029_0_0,L1 antigen for Human Papillomavirus type-16
23029_1_0,L1 antigen for Human Papillomavirus type-16
23030_0_0,E6 antigen for Human Papillomavirus type-16
23030_1_0,E6 antigen for Human Papillomavirus type-16
23031_0_0,E7 antigen for Human Papillomavirus type-16
23031_1_0,E7 antigen for Human Papillomavirus type-16
23032_0_0,L1 antigen for Human Papillomavirus type-18
23032_1_0,L1 antigen for Human Papillomavirus type-18
23033_0_0,momp D antigen for Chlamydia trachomatis
23033_1_0,momp D antigen for Chlamydia trachomatis
23034_0_0,momp A antigen for Chlamydia trachomatis
23034_1_0,momp A antigen for Chlamydia trachomatis
23035_0_0,tarp-D F1 antigen for Chlamydia trachomatis
23035_1_0,tarp-D F1 antigen for Chlamydia trachomatis
23036_0_0,tarp-D F2 antigen for Chlamydia trachomatis
23036_1_0,tarp-D F2 antigen for Chlamydia trachomatis
23037_0_0,PorB antigen for Chlamydia trachomatis
23037_1_0,PorB antigen for Chlamydia trachomatis
23038_0_0,pGP3 antigen for Chlamydia trachomatis
23038_1_0,pGP3 antigen for Chlamydia trachomatis
23039_0_0,CagA antigen for Helicobacter pylori
23039_1_0,CagA antigen for Helicobacter pylori
23040_0_0,VacA antigen for Helicobacter pylori
23040_1_0,VacA antigen for Helicobacter pylori
23041_0_0,OMP antigen for Helicobacter pylori
23041_1_0,OMP antigen for Helicobacter pylori
23042_0_0,GroEL antigen for Helicobacter pylori
23042_1_0,GroEL antigen for Helicobacter pylori
23043_0_0,Catalase antigen for Helicobacter pylori
23043_1_0,Catalase antigen for Helicobacter pylori
23044_0_0,UreA antigen for Helicobacter pylori
23044_1_0,UreA antigen for Helicobacter pylori
23048_0_0,Antigen assay date
23321_2_74,Values wanted
23049_0_0,Antigen assay QC indicator
23049_1_0,Antigen assay QC indicator
23050_0_0,HSV-1 seropositivity for Herpes Simplex virus-1
23050_1_0,HSV-1 seropositivity for Herpes Simplex virus-1
23051_0_0,HSV-2 seropositivity for Herpes Simplex virus-2
23051_1_0,HSV-2 seropositivity for Herpes Simplex virus-2
23052_0_0,VZV seropositivity for Varicella Zoster Virus 
23052_1_0,VZV seropositivity for Varicella Zoster Virus 
23053_0_0,EBV seropositivity for Epstein-Barr Virus
23053_1_0,EBV seropositivity for Epstein-Barr Virus
23054_0_0,CMV seropositivity for Human Cytomegalovirus
23054_1_0,CMV seropositivity for Human Cytomegalovirus
23055_0_0,HHV-6 overall seropositivity for Human Herpesvirus-6
23055_1_0,HHV-6 overall seropositivity for Human Herpesvirus-6
23056_0_0,HHV-6A seropositivity for Human Herpesvirus-6
23056_1_0,HHV-6A seropositivity for Human Herpesvirus-6
23057_0_0,HHV-6B seropositivity for Human Herpesvirus-6
23057_1_0,HHV-6B seropositivity for Human Herpesvirus-6
23058_0_0,HHV-7 seropositivity for Human Herpesvirus-7
23058_1_0,HHV-7 seropositivity for Human Herpesvirus-7
23059_0_0,KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus
23059_1_0,KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus
23060_0_0,HBV seropositivity for Hepatitis B Virus
23060_1_0,HBV seropositivity for Hepatitis B Virus
23061_0_0,HCV seropositivity for Hepatitis C Virus
23061_1_0,HCV seropositivity for Hepatitis C Virus
23062_0_0,T. gondii seropositivity for Toxoplasma gondii
23062_1_0,T. gondii seropositivity for Toxoplasma gondii
23063_0_0,HTLV-1 seropositivity for Human T-Lymphotropic Virus 1
23063_1_0,HTLV-1 seropositivity for Human T-Lymphotropic Virus 1
23064_0_0,HIV-1 seropositivity for Human Immunodeficiency Virus
23064_1_0,HIV-1 seropositivity for Human Immunodeficiency Virus
23065_0_0,BKV seropositivity for Human Polyomavirus BKV
23065_1_0,BKV seropositivity for Human Polyomavirus BKV
23066_0_0,JCV seropositivity for Human Polyomavirus JCV
23066_1_0,JCV seropositivity for Human Polyomavirus JCV
23067_0_0,MCV seropositivity for Merkel Cell Polyomavirus
23067_1_0,MCV seropositivity for Merkel Cell Polyomavirus
23068_0_0,HPV 16 Definition I seropositivity for Human Papillomavirus type-16
23068_1_0,HPV 16 Definition I seropositivity for Human Papillomavirus type-16
23069_0_0,HPV 18 seropositivity for Human Papillomavirus type-18
23069_1_0,HPV 18 seropositivity for Human Papillomavirus type-18
23070_0_0,C. trachomatis Definition I seropositivity for Chlamydia trachomatis
23070_1_0,C. trachomatis Definition I seropositivity for Chlamydia trachomatis
23071_0_0,C. trachomatis Definition II seropositivity for Chlamydia trachomatis
23071_1_0,C. trachomatis Definition II seropositivity for Chlamydia trachomatis
23073_0_0,H. pylori Definition I seropositivity for Helicobacter pylori
23073_1_0,H. pylori Definition I seropositivity for Helicobacter pylori
23074_0_0,H. pylori Definition II seropositivity for Helicobacter pylori
23074_1_0,H. pylori Definition II seropositivity for Helicobacter pylori
23075_0_0,HPV 16 Definition II seropositivity for Human Papillomavirus type-16
23075_1_0,HPV 16 Definition II seropositivity for Human Papillomavirus type-16
23098_0_0,Weight
23098_1_0,Weight
23098_2_0,Weight
23098_3_0,Weight
23099_0_0,Body fat percentage
23099_1_0,Body fat percentage
23099_2_0,Body fat percentage
23099_3_0,Body fat percentage
23100_0_0,Whole body fat mass
23100_1_0,Whole body fat mass
23100_2_0,Whole body fat mass
23100_3_0,Whole body fat mass
23101_0_0,Whole body fat-free mass
23101_1_0,Whole body fat-free mass
23101_2_0,Whole body fat-free mass
23101_3_0,Whole body fat-free mass
23102_0_0,Whole body water mass
23102_1_0,Whole body water mass
23102_2_0,Whole body water mass
23102_3_0,Whole body water mass
23104_0_0,Body mass index (BMI)
23104_1_0,Body mass index (BMI)
23104_2_0,Body mass index (BMI)
23104_3_0,Body mass index (BMI)
23105_0_0,Basal metabolic rate
23105_1_0,Basal metabolic rate
23105_2_0,Basal metabolic rate
23105_3_0,Basal metabolic rate
23106_0_0,Impedance of whole body
23106_1_0,Impedance of whole body
23106_2_0,Impedance of whole body
23106_3_0,Impedance of whole body
23107_0_0,Impedance of leg (right)
23107_1_0,Impedance of leg (right)
23107_2_0,Impedance of leg (right)
23107_3_0,Impedance of leg (right)
23108_0_0,Impedance of leg (left)
23108_1_0,Impedance of leg (left)
23108_2_0,Impedance of leg (left)
23108_3_0,Impedance of leg (left)
23109_0_0,Impedance of arm (right)
23109_1_0,Impedance of arm (right)
23109_2_0,Impedance of arm (right)
23109_3_0,Impedance of arm (right)
23110_0_0,Impedance of arm (left)
23110_1_0,Impedance of arm (left)
23110_2_0,Impedance of arm (left)
23110_3_0,Impedance of arm (left)
23111_0_0,Leg fat percentage (right)
23111_1_0,Leg fat percentage (right)
23111_2_0,Leg fat percentage (right)
23111_3_0,Leg fat percentage (right)
23112_0_0,Leg fat mass (right)
23112_1_0,Leg fat mass (right)
23112_2_0,Leg fat mass (right)
23112_3_0,Leg fat mass (right)
23113_0_0,Leg fat-free mass (right)
23113_1_0,Leg fat-free mass (right)
23113_2_0,Leg fat-free mass (right)
23113_3_0,Leg fat-free mass (right)
23114_0_0,Leg predicted mass (right)
23114_1_0,Leg predicted mass (right)
23114_2_0,Leg predicted mass (right)
23114_3_0,Leg predicted mass (right)
23115_0_0,Leg fat percentage (left)
23115_1_0,Leg fat percentage (left)
23115_2_0,Leg fat percentage (left)
23115_3_0,Leg fat percentage (left)
23116_0_0,Leg fat mass (left)
23116_1_0,Leg fat mass (left)
23116_2_0,Leg fat mass (left)
23116_3_0,Leg fat mass (left)
23117_0_0,Leg fat-free mass (left)
23117_1_0,Leg fat-free mass (left)
23117_2_0,Leg fat-free mass (left)
23117_3_0,Leg fat-free mass (left)
23118_0_0,Leg predicted mass (left)
23118_1_0,Leg predicted mass (left)
23118_2_0,Leg predicted mass (left)
23118_3_0,Leg predicted mass (left)
23119_0_0,Arm fat percentage (right)
23119_1_0,Arm fat percentage (right)
23119_2_0,Arm fat percentage (right)
23119_3_0,Arm fat percentage (right)
23120_0_0,Arm fat mass (right)
23120_1_0,Arm fat mass (right)
23120_2_0,Arm fat mass (right)
23120_3_0,Arm fat mass (right)
23121_0_0,Arm fat-free mass (right)
23121_1_0,Arm fat-free mass (right)
23121_2_0,Arm fat-free mass (right)
